TransactionID,Date,Category,Subcategory,Type,Amount,Budget,Description,
TXN0059,2/26/2024,Entertainment,Gaming,variable,-26.55,-33.33,Cinema purchase,
TXN0033,2/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0068,3/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0069,3/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0072,3/2/2024,Utilities,Electricity,variable,-185.21,-60,Electricity purchase,
TXN0089,3/3/2024,Dining Out,Takeaway,variable,-35.12,-33.33,Coffee Shop purchase,
TXN0083,3/4/2024,Transport,Bus Pass,variable,-57.37,-30,Fuel purchase,
TXN0094,3/4/2024,Health,Doctor Visit,variable,-55.04,-40,Doctor Visit purchase,
TXN0070,3/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0090,3/5/2024,Dining Out,Restaurant,variable,-52.13,-33.33,Restaurant purchase,
TXN0095,3/5/2024,Health,Doctor Visit,variable,-27.26,-40,Gym purchase,
TXN0075,3/6/2024,Groceries,Online Grocery,variable,-58.95,-53.33,Online Grocery purchase,
TXN0078,3/7/2024,Groceries,Supermarket,variable,-54.84,-53.33,Supermarket purchase,
TXN0085,3/7/2024,Dining Out,Coffee Shop,variable,-40.8,-33.33,Restaurant purchase,
TXN0086,3/9/2024,Dining Out,Takeaway,variable,-29.02,-33.33,Takeaway purchase,
TXN0087,3/10/2024,Dining Out,Restaurant,variable,-31.66,-33.33,Restaurant purchase,
TXN0091,3/12/2024,Entertainment,Gaming,variable,-19.97,-33.33,Concert purchase,
TXN0067,3/15/2024,Income,Bonus,income,1200,0,Quarterly bonus,
TXN0088,3/15/2024,Dining Out,Takeaway,variable,-38.71,-33.33,Restaurant purchase,
TXN0074,3/16/2024,Groceries,Online Grocery,variable,-64.07,-53.33,Supermarket purchase,
TXN0080,3/17/2024,Transport,Bus Pass,variable,-56.37,-30,Fuel purchase,
TXN0081,3/17/2024,Transport,Bus Pass,variable,-18.61,-30,Fuel purchase,
TXN0082,3/20/2024,Transport,Bus Pass,variable,-18.06,-30,Train purchase,
TXN0084,3/20/2024,Transport,Uber,variable,-18.69,-30,Uber purchase,
TXN0092,3/20/2024,Entertainment,Netflix,variable,-44.43,-33.33,Concert purchase,
TXN0093,3/22/2024,Entertainment,Cinema,variable,-13.63,-33.33,Concert purchase,
TXN0077,3/23/2024,Groceries,Online Grocery,variable,-87.87,-53.33,Supermarket purchase,
TXN0096,3/23/2024,Shopping,Amazon,variable,-54.29,-66.67,Amazon purchase,
TXN0079,3/24/2024,Groceries,Supermarket,variable,-55.68,-53.33,Online Grocery purchase,
TXN0073,3/25/2024,Utilities,Water,variable,-204.87,-60,Gas purchase,
TXN0076,3/26/2024,Groceries,Online Grocery,variable,-79.26,-53.33,Online Grocery purchase,
TXN0066,3/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0071,3/28/2024,Utilities,Gas,variable,-212.33,-60,Electricity purchase,
TXN0097,3/28/2024,Shopping,Electronics,variable,-46.4,-66.67,Electronics purchase,
TXN0098,3/28/2024,Shopping,Amazon,variable,-25.08,-66.67,Electronics purchase,
TXN0101,4/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0102,4/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0112,4/1/2024,Groceries,Online Grocery,variable,-48.97,-53.33,Online Grocery purchase,
TXN0118,4/1/2024,Dining Out,Coffee Shop,variable,-40.38,-33.33,Coffee Shop purchase,
TXN0126,4/1/2024,Entertainment,Cinema,variable,-28.2,-33.33,Concert purchase,
TXN0106,4/4/2024,Utilities,Water,variable,-127.52,-60,Electricity purchase,
TXN0123,4/4/2024,Dining Out,Coffee Shop,variable,-37.65,-33.33,Takeaway purchase,
TXN0103,4/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0108,4/5/2024,Groceries,Online Grocery,variable,-42.09,-53.33,Supermarket purchase,
TXN0131,4/5/2024,Shopping,Amazon,variable,-39.18,-66.67,Electronics purchase,
TXN0114,4/6/2024,Transport,Fuel,variable,-50.43,-30,Train purchase,
TXN0122,4/6/2024,Dining Out,Coffee Shop,variable,-36.97,-33.33,Restaurant purchase,
TXN0116,4/7/2024,Transport,Train,variable,-51.75,-30,Uber purchase,
TXN0111,4/8/2024,Groceries,Supermarket,variable,-83.23,-53.33,Online Grocery purchase,
TXN0119,4/9/2024,Dining Out,Coffee Shop,variable,-49.17,-33.33,Coffee Shop purchase,
TXN0117,4/10/2024,Transport,Bus Pass,variable,-51.92,-30,Bus Pass purchase,
TXN0129,4/10/2024,Shopping,Amazon,variable,-70.71,-66.67,Electronics purchase,
TXN0121,4/11/2024,Dining Out,Restaurant,variable,-52.39,-33.33,Coffee Shop purchase,
TXN0130,4/11/2024,Shopping,Electronics,variable,-60.24,-66.67,Amazon purchase,
TXN0109,4/12/2024,Groceries,Supermarket,variable,-50.5,-53.33,Supermarket purchase,
TXN0110,4/12/2024,Groceries,Online Grocery,variable,-79.01,-53.33,Supermarket purchase,
TXN0100,4/14/2024,Income,Freelance,income,322.04,0,Freelance project payment,
TXN0127,4/14/2024,Health,Doctor Visit,variable,-18.15,-40,Pharmacy purchase,
TXN0125,4/19/2024,Entertainment,Netflix,variable,-16.65,-33.33,Gaming purchase,
TXN0128,4/20/2024,Health,Gym,variable,-29.13,-40,Doctor Visit purchase,
TXN0120,4/21/2024,Dining Out,Takeaway,variable,-33.9,-33.33,Takeaway purchase,
TXN0105,4/24/2024,Utilities,Gas,variable,-164.18,-60,Electricity purchase,
TXN0104,4/25/2024,Utilities,Internet,variable,-133.08,-60,Water purchase,
TXN0113,4/26/2024,Transport,Bus Pass,variable,-45.15,-30,Uber purchase,
TXN0124,4/26/2024,Entertainment,Netflix,variable,-20.98,-33.33,Gaming purchase,
TXN0107,4/27/2024,Groceries,Supermarket,variable,-58.46,-53.33,Online Grocery purchase,
TXN0099,4/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0115,4/28/2024,Transport,Train,variable,-16.74,-30,Bus Pass purchase,
TXN0133,5/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0134,5/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0143,5/2/2024,Groceries,Online Grocery,variable,-52.24,-53.33,Supermarket purchase,
TXN0135,5/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0149,5/5/2024,Transport,Uber,variable,-51.06,-30,Train purchase,
TXN0142,5/8/2024,Groceries,Supermarket,variable,-80.33,-53.33,Supermarket purchase,
TXN0147,5/8/2024,Transport,Train,variable,-22.91,-30,Fuel purchase,
TXN0155,5/8/2024,Dining Out,Restaurant,variable,-23.81,-33.33,Takeaway purchase,
TXN0137,5/10/2024,Utilities,Gas,variable,-148.69,-60,Internet purchase,
TXN0140,5/10/2024,Groceries,Online Grocery,variable,-65.77,-53.33,Supermarket purchase,
TXN0156,5/10/2024,Entertainment,Concert,variable,-18.21,-33.33,Concert purchase,
TXN0158,5/13/2024,Entertainment,Cinema,variable,-34.29,-33.33,Netflix purchase,
TXN0159,5/14/2024,Health,Doctor Visit,variable,-33.34,-40,Pharmacy purchase,
TXN0160,5/14/2024,Health,Pharmacy,variable,-17.8,-40,Pharmacy purchase,
TXN0138,5/15/2024,Utilities,Water,variable,-164.18,-60,Gas purchase,
TXN0144,5/15/2024,Groceries,Supermarket,variable,-60.72,-53.33,Online Grocery purchase,
TXN0145,5/16/2024,Transport,Bus Pass,variable,-32.98,-30,Fuel purchase,
TXN0163,5/16/2024,Shopping,Electronics,variable,-20.59,-66.67,Electronics purchase,
TXN0148,5/18/2024,Transport,Fuel,variable,-26.21,-30,Train purchase,
TXN0157,5/18/2024,Entertainment,Cinema,variable,-12.82,-33.33,Cinema purchase,
TXN0136,5/20/2024,Utilities,Gas,variable,-176.91,-60,Electricity purchase,
TXN0150,5/20/2024,Dining Out,Takeaway,variable,-47.05,-33.33,Coffee Shop purchase,
TXN0152,5/24/2024,Dining Out,Coffee Shop,variable,-49.04,-33.33,Coffee Shop purchase,
TXN0146,5/25/2024,Transport,Fuel,variable,-53.72,-30,Train purchase,
TXN0153,5/25/2024,Dining Out,Takeaway,variable,-22.63,-33.33,Coffee Shop purchase,
TXN0154,5/25/2024,Dining Out,Coffee Shop,variable,-45.44,-33.33,Takeaway purchase,
TXN0161,5/25/2024,Shopping,Amazon,variable,-78.41,-66.67,Clothes purchase,
TXN0139,5/26/2024,Groceries,Supermarket,variable,-85.06,-53.33,Supermarket purchase,
TXN0141,5/27/2024,Groceries,Supermarket,variable,-87.6,-53.33,Online Grocery purchase,
TXN0151,5/27/2024,Dining Out,Coffee Shop,variable,-50.99,-33.33,Restaurant purchase,
TXN0132,5/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0162,5/28/2024,Shopping,Amazon,variable,-108.07,-66.67,Electronics purchase,
TXN0166,6/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0167,6/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0175,6/2/2024,Groceries,Online Grocery,variable,-53.01,-53.33,Supermarket purchase,
TXN0185,6/4/2024,Dining Out,Restaurant,variable,-45.45,-33.33,Coffee Shop purchase,
TXN0186,6/4/2024,Dining Out,Coffee Shop,variable,-36.88,-33.33,Takeaway purchase,
TXN0168,6/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0182,6/5/2024,Transport,Fuel,variable,-36.31,-30,Bus Pass purchase,
TXN0195,6/5/2024,Shopping,Amazon,variable,-63.55,-66.67,Amazon purchase,
TXN0170,6/8/2024,Utilities,Gas,variable,-147.29,-60,Electricity purchase,
TXN0179,6/12/2024,Transport,Fuel,variable,-25.09,-30,Fuel purchase,
TXN0191,6/12/2024,Entertainment,Concert,variable,-28.65,-33.33,Netflix purchase,
TXN0171,6/13/2024,Utilities,Gas,variable,-153.61,-60,Water purchase,
TXN0173,6/13/2024,Groceries,Supermarket,variable,-69.59,-53.33,Supermarket purchase,
TXN0176,6/15/2024,Groceries,Online Grocery,variable,-56.34,-53.33,Online Grocery purchase,
TXN0183,6/15/2024,Dining Out,Coffee Shop,variable,-42.08,-33.33,Restaurant purchase,
TXN0165,6/16/2024,Income,Freelance,income,726.72,0,Freelance project payment,
TXN0192,6/17/2024,Health,Gym,variable,-44.14,-40,Pharmacy purchase,
TXN0169,6/18/2024,Utilities,Water,variable,-194.75,-60,Gas purchase,
TXN0184,6/20/2024,Dining Out,Takeaway,variable,-38.11,-33.33,Takeaway purchase,
TXN0174,6/21/2024,Groceries,Online Grocery,variable,-61.43,-53.33,Supermarket purchase,
TXN0194,6/21/2024,Shopping,Electronics,variable,-109.16,-66.67,Amazon purchase,
TXN0196,6/21/2024,Shopping,Amazon,variable,-47.01,-66.67,Electronics purchase,
TXN0187,6/22/2024,Dining Out,Coffee Shop,variable,-51.05,-33.33,Coffee Shop purchase,
TXN0188,6/23/2024,Dining Out,Takeaway,variable,-20.53,-33.33,Takeaway purchase,
TXN0177,6/25/2024,Groceries,Online Grocery,variable,-87.56,-53.33,Online Grocery purchase,
TXN0180,6/25/2024,Transport,Bus Pass,variable,-16.4,-30,Bus Pass purchase,
TXN0172,6/27/2024,Groceries,Supermarket,variable,-63.37,-53.33,Supermarket purchase,
TXN0178,6/27/2024,Transport,Fuel,variable,-18.69,-30,Fuel purchase,
TXN0181,6/27/2024,Transport,Bus Pass,variable,-15.92,-30,Bus Pass purchase,
TXN0189,6/27/2024,Entertainment,Netflix,variable,-31.95,-33.33,Concert purchase,
TXN0193,6/27/2024,Health,Pharmacy,variable,-37.06,-40,Pharmacy purchase,
TXN0164,6/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0190,6/28/2024,Entertainment,Netflix,variable,-33.95,-33.33,Netflix purchase,
TXN0198,7/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0199,7/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0221,7/2/2024,Entertainment,Cinema,variable,-29.37,-33.33,Gaming purchase,
TXN0210,7/3/2024,Transport,Train,variable,-28.24,-30,Bus Pass purchase,
TXN0215,7/4/2024,Dining Out,Takeaway,variable,-43.94,-33.33,Restaurant purchase,
TXN0222,7/4/2024,Entertainment,Concert,variable,-40.55,-33.33,Gaming purchase,
TXN0200,7/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0227,7/5/2024,Shopping,Electronics,variable,-101.11,-66.67,Clothes purchase,
TXN0216,7/7/2024,Dining Out,Coffee Shop,variable,-21.3,-33.33,Coffee Shop purchase,
TXN0219,7/8/2024,Dining Out,Coffee Shop,variable,-27.52,-33.33,Restaurant purchase,
TXN0228,7/8/2024,Shopping,Electronics,variable,-31.85,-66.67,Amazon purchase,
TXN0206,7/9/2024,Groceries,Online Grocery,variable,-84.02,-53.33,Supermarket purchase,
TXN0214,7/9/2024,Transport,Bus Pass,variable,-25.37,-30,Uber purchase,
TXN0224,7/9/2024,Health,Pharmacy,variable,-57.35,-40,Gym purchase,
TXN0211,7/10/2024,Transport,Uber,variable,-44.88,-30,Train purchase,
TXN0218,7/10/2024,Dining Out,Restaurant,variable,-54.16,-33.33,Coffee Shop purchase,
TXN0204,7/11/2024,Groceries,Online Grocery,variable,-41.43,-53.33,Supermarket purchase,
TXN0213,7/12/2024,Transport,Uber,variable,-46.63,-30,Uber purchase,
TXN0201,7/14/2024,Utilities,Internet,variable,-202.57,-60,Internet purchase,
TXN0203,7/15/2024,Utilities,Gas,variable,-144.39,-60,Gas purchase,
TXN0205,7/16/2024,Groceries,Online Grocery,variable,-50.61,-53.33,Online Grocery purchase,
TXN0223,7/16/2024,Entertainment,Cinema,variable,-25.42,-33.33,Netflix purchase,
TXN0207,7/17/2024,Groceries,Supermarket,variable,-87.4,-53.33,Supermarket purchase,
TXN0212,7/18/2024,Transport,Train,variable,-38.89,-30,Uber purchase,
TXN0226,7/19/2024,Shopping,Clothes,variable,-82.94,-66.67,Clothes purchase,
TXN0209,7/21/2024,Groceries,Online Grocery,variable,-75.59,-53.33,Supermarket purchase,
TXN0220,7/23/2024,Dining Out,Coffee Shop,variable,-34.97,-33.33,Restaurant purchase,
TXN0208,7/24/2024,Groceries,Supermarket,variable,-60.32,-53.33,Online Grocery purchase,
TXN0217,7/24/2024,Dining Out,Takeaway,variable,-37.35,-33.33,Takeaway purchase,
TXN0225,7/27/2024,Health,Pharmacy,variable,-17.94,-40,Gym purchase,
TXN0197,7/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0202,7/28/2024,Utilities,Electricity,variable,-144.55,-60,Internet purchase,
TXN0231,8/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0232,8/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0239,8/1/2024,Groceries,Online Grocery,variable,-60.43,-53.33,Online Grocery purchase,
TXN0250,8/1/2024,Dining Out,Takeaway,variable,-54.98,-33.33,Coffee Shop purchase,
TXN0240,8/2/2024,Groceries,Online Grocery,variable,-51.57,-53.33,Online Grocery purchase,
TXN0261,8/2/2024,Shopping,Electronics,variable,-38.76,-66.67,Amazon purchase,
TXN0241,8/3/2024,Groceries,Online Grocery,variable,-74.37,-53.33,Supermarket purchase,
TXN0247,8/3/2024,Transport,Train,variable,-41.91,-30,Uber purchase,
TXN0258,8/3/2024,Health,Pharmacy,variable,-29.15,-40,Gym purchase,
TXN0245,8/4/2024,Transport,Uber,variable,-36.09,-30,Train purchase,
TXN0233,8/5/2024,Investments,Stocks ISA,fixed,-300,-300,Monthly investment contribution,
TXN0244,8/6/2024,Transport,Uber,variable,-50.67,-30,Train purchase,
TXN0238,8/8/2024,Groceries,Supermarket,variable,-48.69,-53.33,Supermarket purchase,
TXN0243,8/9/2024,Transport,Fuel,variable,-52.2,-30,Fuel purchase,
TXN0246,8/9/2024,Transport,Train,variable,-37.52,-30,Train purchase,
TXN0235,8/10/2024,Utilities,Gas,variable,-206.02,-60,Internet purchase,
TXN0242,8/14/2024,Groceries,Supermarket,variable,-45.74,-53.33,Supermarket purchase,
TXN0256,8/14/2024,Entertainment,Concert,variable,-34.28,-33.33,Gaming purchase,
TXN0254,8/16/2024,Entertainment,Concert,variable,-22.18,-33.33,Concert purchase,
TXN0252,8/17/2024,Dining Out,Coffee Shop,variable,-40.01,-33.33,Restaurant purchase,
TXN0230,8/19/2024,Income,Freelance,income,695.37,0,Freelance project payment,
TXN0236,8/19/2024,Utilities,Electricity,variable,-182.1,-60,Water purchase,
TXN0251,8/19/2024,Dining Out,Restaurant,variable,-13.73,-33.33,Coffee Shop purchase,
TXN0253,8/19/2024,Dining Out,Coffee Shop,variable,-30.74,-33.33,Restaurant purchase,
TXN0248,8/20/2024,Dining Out,Restaurant,variable,-22.77,-33.33,Restaurant purchase,
TXN0237,8/21/2024,Groceries,Supermarket,variable,-50.55,-53.33,Supermarket purchase,
TXN0249,8/22/2024,Dining Out,Takeaway,variable,-47.95,-33.33,Takeaway purchase,
TXN0255,8/22/2024,Entertainment,Cinema,variable,-13.66,-33.33,Concert purchase,
TXN0260,8/22/2024,Shopping,Electronics,variable,-106.94,-66.67,Electronics purchase,
TXN0234,8/25/2024,Utilities,Gas,variable,-172.26,-60,Gas purchase,
TXN0259,8/25/2024,Shopping,Amazon,variable,-60.42,-66.67,Clothes purchase,
TXN0257,8/27/2024,Health,Gym,variable,-49.22,-40,Pharmacy purchase,
TXN0229,8/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0264,9/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0265,9/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0271,9/3/2024,Groceries,Supermarket,variable,-51.24,-53.33,Online Grocery purchase,
TXN0272,9/4/2024,Groceries,Supermarket,variable,-72.39,-53.33,Online Grocery purchase,
TXN0288,9/4/2024,Entertainment,Gaming,variable,-28.41,-33.33,Netflix purchase,
TXN0266,9/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0268,9/9/2024,Utilities,Internet,variable,-174.92,-60,Gas purchase,
TXN0277,9/9/2024,Transport,Train,variable,-49.77,-30,Uber purchase,
TXN0282,9/11/2024,Dining Out,Takeaway,variable,-49.39,-33.33,Restaurant purchase,
TXN0284,9/11/2024,Dining Out,Takeaway,variable,-44.02,-33.33,Coffee Shop purchase,
TXN0285,9/13/2024,Dining Out,Takeaway,variable,-54.5,-33.33,Restaurant purchase,
TXN0293,9/13/2024,Shopping,Amazon,variable,-115.41,-66.67,Amazon purchase,
TXN0263,9/15/2024,Income,Bonus,income,1200,0,Quarterly bonus,
TXN0275,9/15/2024,Groceries,Online Grocery,variable,-67.56,-53.33,Supermarket purchase,
TXN0280,9/15/2024,Transport,Uber,variable,-39.24,-30,Uber purchase,
TXN0286,9/16/2024,Dining Out,Restaurant,variable,-53.49,-33.33,Takeaway purchase,
TXN0290,9/16/2024,Health,Pharmacy,variable,-50.17,-40,Pharmacy purchase,
TXN0281,9/18/2024,Dining Out,Coffee Shop,variable,-44.8,-33.33,Coffee Shop purchase,
TXN0283,9/19/2024,Dining Out,Coffee Shop,variable,-28.47,-33.33,Restaurant purchase,
TXN0287,9/19/2024,Entertainment,Netflix,variable,-21.62,-33.33,Gaming purchase,
TXN0276,9/20/2024,Transport,Bus Pass,variable,-37.87,-30,Fuel purchase,
TXN0291,9/20/2024,Health,Doctor Visit,variable,-46.17,-40,Gym purchase,
TXN0267,9/21/2024,Utilities,Electricity,variable,-164.2,-60,Water purchase,
TXN0269,9/23/2024,Utilities,Electricity,variable,-168.47,-60,Water purchase,
TXN0270,9/23/2024,Groceries,Supermarket,variable,-47.92,-53.33,Online Grocery purchase,
TXN0273,9/23/2024,Groceries,Online Grocery,variable,-54.59,-53.33,Online Grocery purchase,
TXN0279,9/24/2024,Transport,Train,variable,-28.44,-30,Bus Pass purchase,
TXN0289,9/24/2024,Entertainment,Cinema,variable,-15.05,-33.33,Netflix purchase,
TXN0294,9/25/2024,Shopping,Amazon,variable,-68.79,-66.67,Clothes purchase,
TXN0278,9/26/2024,Transport,Fuel,variable,-37.85,-30,Uber purchase,
TXN0274,9/27/2024,Groceries,Online Grocery,variable,-64.12,-53.33,Supermarket purchase,
TXN0262,9/28/2024,Income,Salary,income,3800,3800,Monthly salary,
TXN0292,9/28/2024,Shopping,Amazon,variable,-52.86,-66.67,Amazon purchase,
TXN0297,10/1/2024,Rent,Rent,fixed,-1200,-1200,Monthly rent,
TXN0298,10/1/2024,Savings,Savings Transfer,fixed,-500,-500,Monthly savings,
TXN0317,10/2/2024,Dining Out,Takeaway,variable,-51.16,-33.33,Coffee Shop purchase,
TXN0322,10/2/2024,Entertainment,Cinema,variable,-30.29,-33.33,Netflix purchase,
TXN0299,10/5/2024,Investments,ETF,fixed,-300,-300,Monthly investment contribution,
TXN0302,10/6/2024,Utilities,Electricity,variable,-189.4,-60,Electricity purchase,
TXN0306,10/6/2024,Groceries,Online Grocery,variable,-43.95,-53.33,Supermarket purchase,
TXN0320,10/7/2024,Entertainment,Cinema,variable,-31.73,-33.33,Netflix purchase,
TXN0324,10/7/2024,Health,Doctor Visit,variable,-20.95,-40,Pharmacy purchase,
TXN0300,10/8/2024,Utilities,Gas,variable,-194.68,-60,Electricity purchase,
TXN0316,10/9/2024,Dining Out,Takeaway,variable,-12.35,-33.33,Takeaway purchase,
TXN0326,10/9/2024,Shopping,Electronics,variable,-111.4,-66.67,Electronics purchase,
TXN0323,10/10/2024,Health,Pharmacy,variable,-29.7,-40,Gym purchase,
TXN0303,10/11/2024,Groceries,Online Grocery,variable,-79.81,-53.33,Online Grocery purchase,
TXN0304,10/12/2024,Groceries,Supermarket,variable,-61.53,-53.33,Online Grocery purchase,
TXN0311,10/12/2024,Transport,Uber,variable,-59.44,-30,Train purchase,
TXN0313,10/13/2024,Transport,Fuel,variable,-53.4,-30,Bus Pass purchase,
