TransactionID,Date,Category,Subcategory,Type,Amount,Budget,Description,Month,Year
TXN0221,2024-07-02,Entertainment,Cinema,variable,-29.37,-33.33,Gaming purchase,7,2024
TXN0210,2024-07-03,Transport,Train,variable,-28.24,-30.0,Bus Pass purchase,7,2024
TXN0215,2024-07-04,Dining Out,Takeaway,variable,-43.94,-33.33,Restaurant purchase,7,2024
TXN0222,2024-07-04,Entertainment,Concert,variable,-40.55,-33.33,Gaming purchase,7,2024
TXN0200,2024-07-05,Investments,ETF,fixed,-300.0,-300.0,Monthly investment contribution,7,2024
TXN0227,2024-07-05,Shopping,Electronics,variable,-101.11,-66.67,Clothes purchase,7,2024
TXN0216,2024-07-07,Dining Out,Coffee Shop,variable,-21.3,-33.33,Coffee Shop purchase,7,2024
TXN0219,2024-07-08,Dining Out,Coffee Shop,variable,-27.52,-33.33,Restaurant purchase,7,2024
TXN0228,2024-07-08,Shopping,Electronics,variable,-31.85,-66.67,Amazon purchase,7,2024
TXN0206,2024-07-09,Groceries,Online Grocery,variable,-84.02,-53.33,Supermarket purchase,7,2024
TXN0214,2024-07-09,Transport,Bus Pass,variable,-25.37,-30.0,Uber purchase,7,2024
TXN0224,2024-07-09,Health,Pharmacy,variable,-57.35,-40.0,Gym purchase,7,2024
TXN0211,2024-07-10,Transport,Uber,variable,-44.88,-30.0,Train purchase,7,2024
TXN0218,2024-07-10,Dining Out,Restaurant,variable,-54.16,-33.33,Coffee Shop purchase,7,2024
TXN0204,2024-07-11,Groceries,Online Grocery,variable,-41.43,-53.33,Supermarket purchase,7,2024
TXN0213,2024-07-12,Transport,Uber,variable,-46.63,-30.0,Uber purchase,7,2024
TXN0201,2024-07-14,Utilities,Internet,variable,-202.57,-60.0,Internet purchase,7,2024
TXN0203,2024-07-15,Utilities,Gas,variable,-144.39,-60.0,Gas purchase,7,2024
TXN0205,2024-07-16,Groceries,Online Grocery,variable,-50.61,-53.33,Online Grocery purchase,7,2024
TXN0223,2024-07-16,Entertainment,Cinema,variable,-25.42,-33.33,Netflix purchase,7,2024
TXN0207,2024-07-17,Groceries,Supermarket,variable,-87.4,-53.33,Supermarket purchase,7,2024
TXN0212,2024-07-18,Transport,Train,variable,-38.89,-30.0,Uber purchase,7,2024
TXN0226,2024-07-19,Shopping,Clothes,variable,-82.94,-66.67,Clothes purchase,7,2024
TXN0209,2024-07-21,Groceries,Online Grocery,variable,-75.59,-53.33,Supermarket purchase,7,2024
TXN0220,2024-07-23,Dining Out,Coffee Shop,variable,-34.97,-33.33,Restaurant purchase,7,2024
TXN0208,2024-07-24,Groceries,Supermarket,variable,-60.32,-53.33,Online Grocery purchase,7,2024
TXN0217,2024-07-24,Dining Out,Takeaway,variable,-37.35,-33.33,Takeaway purchase,7,2024
TXN0225,2024-07-27,Health,Pharmacy,variable,-17.94,-40.0,Gym purchase,7,2024
TXN0197,2024-07-28,Income,Salary,income,3800.0,3800.0,Monthly salary,7,2024
TXN0202,2024-07-28,Utilities,Electricity,variable,-144.55,-60.0,Internet purchase,7,2024
TXN0231,2024-08-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,8,2024
TXN0232,2024-08-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,8,2024
TXN0239,2024-08-01,Groceries,Online Grocery,variable,-60.43,-53.33,Online Grocery purchase,8,2024
TXN0250,2024-08-01,Dining Out,Takeaway,variable,-54.98,-33.33,Coffee Shop purchase,8,2024
TXN0240,2024-08-02,Groceries,Online Grocery,variable,-51.57,-53.33,Online Grocery purchase,8,2024
TXN0261,2024-08-02,Shopping,Electronics,variable,-38.76,-66.67,Amazon purchase,8,2024
TXN0241,2024-08-03,Groceries,Online Grocery,variable,-74.37,-53.33,Supermarket purchase,8,2024
TXN0247,2024-08-03,Transport,Train,variable,-41.91,-30.0,Uber purchase,8,2024
TXN0258,2024-08-03,Health,Pharmacy,variable,-29.15,-40.0,Gym purchase,8,2024
TXN0245,2024-08-04,Transport,Uber,variable,-36.09,-30.0,Train purchase,8,2024
TXN0233,2024-08-05,Investments,Stocks ISA,fixed,-300.0,-300.0,Monthly investment contribution,8,2024
TXN0244,2024-08-06,Transport,Uber,variable,-50.67,-30.0,Train purchase,8,2024
TXN0238,2024-08-08,Groceries,Supermarket,variable,-48.69,-53.33,Supermarket purchase,8,2024
TXN0243,2024-08-09,Transport,Fuel,variable,-52.2,-30.0,Fuel purchase,8,2024
TXN0246,2024-08-09,Transport,Train,variable,-37.52,-30.0,Train purchase,8,2024
TXN0235,2024-08-10,Utilities,Gas,variable,-206.02,-60.0,Internet purchase,8,2024
TXN0242,2024-08-14,Groceries,Supermarket,variable,-45.74,-53.33,Supermarket purchase,8,2024
TXN0256,2024-08-14,Entertainment,Concert,variable,-34.28,-33.33,Gaming purchase,8,2024
TXN0254,2024-08-16,Entertainment,Concert,variable,-22.18,-33.33,Concert purchase,8,2024
TXN0252,2024-08-17,Dining Out,Coffee Shop,variable,-40.01,-33.33,Restaurant purchase,8,2024
TXN0230,2024-08-19,Income,Freelance,income,695.37,0.0,Freelance project payment,8,2024
TXN0236,2024-08-19,Utilities,Electricity,variable,-182.1,-60.0,Water purchase,8,2024
TXN0251,2024-08-19,Dining Out,Restaurant,variable,-13.73,-33.33,Coffee Shop purchase,8,2024
TXN0253,2024-08-19,Dining Out,Coffee Shop,variable,-30.74,-33.33,Restaurant purchase,8,2024
TXN0248,2024-08-20,Dining Out,Restaurant,variable,-22.77,-33.33,Restaurant purchase,8,2024
TXN0237,2024-08-21,Groceries,Supermarket,variable,-50.55,-53.33,Supermarket purchase,8,2024
TXN0249,2024-08-22,Dining Out,Takeaway,variable,-47.95,-33.33,Takeaway purchase,8,2024
TXN0255,2024-08-22,Entertainment,Cinema,variable,-13.66,-33.33,Concert purchase,8,2024
TXN0260,2024-08-22,Shopping,Electronics,variable,-106.94,-66.67,Electronics purchase,8,2024
TXN0234,2024-08-25,Utilities,Gas,variable,-172.26,-60.0,Gas purchase,8,2024
TXN0259,2024-08-25,Shopping,Amazon,variable,-60.42,-66.67,Clothes purchase,8,2024
TXN0257,2024-08-27,Health,Gym,variable,-49.22,-40.0,Pharmacy purchase,8,2024
TXN0229,2024-08-28,Income,Salary,income,3800.0,3800.0,Monthly salary,8,2024
TXN0264,2024-09-01,Rent,Rent,fixed,-1200.0,-1200.0,Monthly rent,9,2024
TXN0265,2024-09-01,Savings,Savings Transfer,fixed,-500.0,-500.0,Monthly savings,9,2024
TXN0271,2024-09-03,Groceries,Supermarket,variable,-51.24,-53.33,Online Grocery purchase,9,2024
TXN0272,2024-09-04,Groceries,Supermarket,variable,-72.39,-53.33,Online Grocery purchase,9,2024
TXN0288,2024-09-04,Entertainment,Gaming,variable,-28.41,-33.33,Netflix purchase,9,2024
TXN0266,2024-09-05,Investments,ETF,fixed,-300.0,-300.0,Monthly investment contribution,9,2024
TXN0268,2024-09-09,Utilities,Internet,variable,-174.92,-60.0,Gas purchase,9,2024
TXN0277,2024-09-09,Transport,Train,variable,-49.77,-30.0,Uber purchase,9,2024
TXN0282,2024-09-11,Dining Out,Takeaway,variable,-49.39,-33.33,Restaurant purchase,9,2024
TXN0284,2024-09-11,Dining Out,Takeaway,variable,-44.02,-33.33,Coffee Shop purchase,9,2024
TXN0285,2024-09-13,Dining Out,Takeaway,variable,-54.5,-33.33,Restaurant purchase,9,2024
TXN0293,2024-09-13,Shopping,Amazon,variable,-115.41,-66.67,Amazon purchase,9,2024
TXN0263,2024-09-15,Income,Bonus,income,1200.0,0.0,Quarterly bonus,9,2024
TXN0275,2024-09-15,Groceries,Online Grocery,variable,-67.56,-53.33,Supermarket purchase,9,2024
TXN0280,2024-09-15,Transport,Uber,variable,-39.24,-30.0,Uber purchase,9,2024
TXN0286,2024-09-16,Dining Out,Restaurant,variable,-53.49,-33.33,Takeaway purchase,9,2024
TXN0290,2024-09-16,Health,Pharmacy,variable,-50.17,-40.0,Pharmacy purchase,9,2024
